Statistic,Name,Team,#,Top 25
Complete Games,Carlos Martinez,St. Louis Cardinals,2,Top 25
Ivan Nova,Pittsburgh Pirates,2,,
Clayton Richard,San Diego Padres,2,,
Max Scherzer,Washington Nationals,2,,
ERA,Clayton Kershaw,Los Angeles Dodgers,2.21,Top 25
Games,Corey Knebel,Milwaukee Brewers,76,Top 25
Saves,Greg Holland,Colorado Rockies,41,Top 25
Kenley Jansen,Los Angeles Dodgers,41,,
Shutouts,Carlos Martinez,St. Louis Cardinals,2,Top 25
Strikeouts,Max Scherzer,Washington Nationals,268,Top 25
Winning Percentage,Clayton Kershaw,Los Angeles Dodgers,.818,Top 25
Wins,Clayton Kershaw,Los Angeles Dodgers,18,Top 25
