Team [Click for roster],Wins,Losses,Ties,WP,GB
New York Mets,90,72,0,.556,--
Washington Nationals,83,79,0,.512,7
Miami Marlins,71,91,0,.438,19
Atlanta Braves,67,95,0,.414,23
Philadelphia Phillies,63,99,0,.389,27
St. Louis Cardinals,100,62,0,.617,--
Pittsburgh Pirates,98,64,0,.605,0
Chicago Cubs,97,65,0,.599,3
Milwaukee Brewers,68,94,0,.420,32
Cincinnati Reds,64,98,0,.395,36
Los Angeles Dodgers,92,70,0,.568,--
San Francisco Giants,84,78,0,.519,8
Arizona Diamondbacks,79,83,0,.488,13
San Diego Padres,74,88,0,.457,18
Colorado Rockies,68,94,0,.420,24
2015 National League Final Standings,,,,,
"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Rookies List",,,,,
