Team [Click for roster],Wins,Losses,Ties,WP,GB
Washington Nationals,97,65,0,.599,--
Miami Marlins,77,85,0,.475,20.0
Atlanta Braves,72,90,0,.444,24.0
New York Mets,70,92,0,.432,27.0
Philadelphia Phillies,66,96,0,.407,31.0
Chicago Cubs,92,70,0,.568,--
Milwaukee Brewers,86,76,0,.531,6.0
St. Louis Cardinals,83,79,0,.512,9.0
Pittsburgh Pirates,75,87,0,.463,17.0
Cincinnati Reds,68,94,0,.420,24.0
Los Angeles Dodgers,104,58,0,.642,--
Arizona Diamondbacks,93,69,0,.574,11.0
Colorado Rockies,87,75,0,.537,17.0
San Diego Padres,71,91,0,.438,33.0
San Francisco Giants,64,98,0,.395,40.0
2017 National League Final Standings,,,,,
"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Rookies List",,,,,
